Year,CW,Bangalore_Price,Delhi_Price,Hyderabad_Price,Kolkata_Price,Pune_Price,Karnataka,Delhi,Andrapradesh,Westbengal,Maharashtra
2015,51,988,1150,1133,2000,1500,20.4,0.2,55.9,15.3,0.3
2015,52,969,1117,1150,2000,1467,20.4,0.2,55.9,15.3,0.3
2015,53,988,1306,1307,2000,1775,20.4,0.2,55.9,15.3,0.3
2016,1,1013,1275,1125,2000,1700,4.4,0,10.7,30.6,0.7
2016,2,1108,1258,1145,1975,1567,4.4,0,10.7,30.6,0.7
2016,3,940,1106,817,1775,1450,4.4,0,10.7,30.6,0.7
2016,4,1015,1103,1075,1750,1520,4.4,0,10.7,30.6,0.7
2016,5,1075,1083,963,1792,1460,4.4,0,10.7,30.6,0.7
2016,6,988,946,950,1692,1233,0.8,1.1,1.1,45,9
2016,7,888,833,775,1396,1025,0.8,1.1,1.1,45,9
2016,8,846,879,746,1125,833,0.8,1.1,1.1,45,9
2016,9,744,944,704,1367,692,0.8,1.1,1.1,45,9
2016,10,691,907,717,1432,760,9.5,20.7,15.9,113.6,38
2016,11,709,946,675,1436,730,9.5,20.7,15.9,113.6,38
2016,12,590,964,733,1267,667,9.5,20.7,15.9,113.6,38
2016,13,595,919,631,1349,638,9.5,20.7,15.9,113.6,38
2016,14,625,961,788,1043,733,9.5,20.7,15.9,113.6,38
2016,15,594,845,750,939,713,23.6,0.6,7.7,107.2,9.5
2016,16,591,796,767,900,738,23.6,0.6,7.7,107.2,9.5
2016,17,575,806,617,890,680,23.6,0.6,7.7,107.2,9.5
2016,18,650,780,783,875,750,23.6,0.6,7.7,107.2,9.5
2016,19,616,708,650,850,750,236.3,26.7,256.4,345.6,26.4
2016,20,600,728,517,821,725,236.3,26.7,256.4,345.6,26.4
2016,21,605,696,625,908,767,236.3,26.7,256.4,345.6,26.4
2016,22,594,628,792,1133,833,236.3,26.7,256.4,345.6,26.4
2016,23,586,687,742,1142,830,236.3,26.7,256.4,345.6,26.4
2016,24,630,659,758,1429,983,1272.1,35.8,511.7,743.5,423.5
2016,25,642,765,750,1083,890,1272.1,35.8,511.7,743.5,423.5
2016,26,644,657,783,1167,967,1272.1,35.8,511.7,743.5,423.5
2016,27,659,716,700,1158,983,1272.1,35.8,511.7,743.5,423.5
2016,28,744,728,719,1150,930,1122.2,159.8,498.3,1066.8,1085.9
2016,29,776,804,771,1354,1117,1122.2,159.8,498.3,1066.8,1085.9
2016,30,744,745,713,1375,925,1122.2,159.8,498.3,1066.8,1085.9
2016,31,742,819,725,1292,825,1122.2,159.8,498.3,1066.8,1085.9
2016,32,643,825,665,1267,800,627.2,133,299.6,626.6,483.7
2016,33,646,770,717,1250,817,627.2,133,299.6,626.6,483.7
2016,34,686,737,665,1260,800,627.2,133,299.6,626.6,483.7
2016,35,717,737,681,1246,767,627.2,133,299.6,626.6,483.7
2016,36,678,711,560,1260,783,443.7,14.8,651.5,728,702
2016,37,819,682,530,1083,725,443.7,14.8,651.5,728,702
2016,38,683,644,431,1021,650,443.7,14.8,651.5,728,702
2016,39,654,608,396,875,680,443.7,14.8,651.5,728,702
2016,40,596,596,359,763,600,128,5.2,144.2,225.4,238.2
2016,41,600,627,321,979,617,128,5.2,144.2,225.4,238.2
2016,42,719,760,333,NULL,630,128,5.2,144.2,225.4,238.2
2016,43,710,732,392,1125,708,128,5.2,144.2,225.4,238.2
2016,44,700,680,375,NULL,658,128,5.2,144.2,225.4,238.2
2016,45,761,717,380,925,750,26.6,0,19,19.2,1.1
2016,46,796,928,950,875,942,26.6,0,19,19.2,1.1
2016,47,888,909,667,1396,1033,26.6,0,19,19.2,1.1
2016,48,850,851,663,1490,983,26.6,0,19,19.2,1.1
2016,49,854,790,500,1220,1000,37.7,1,91.7,0.3,1.1
2016,50,826,805,508,1233,950,37.7,1,91.7,0.3,1.1
2016,51,775,821,520,1340,1000,37.7,1,91.7,0.3,1.1
2016,52,858,731,513,1170,917,37.7,1,91.7,0.3,1.1
2016,53,793,697,555,1125,767,37.7,1,91.7,0.3,1.1
2017,1,790,728,550,1246,717,6.1,34.2,4.9,4.4,0.2
2017,2,710,822,565,1263,625,6.1,34.2,4.9,4.4,0.2
2017,3,717,748,544,1100,600,6.1,34.2,4.9,4.4,0.2
2017,4,669,747,583,950,700,6.1,34.2,4.9,4.4,0.2
2017,5,675,724,550,945,567,6.1,34.2,4.9,4.4,0.2
2017,6,756,706,1058,970,600,0,0.3,0,5.1,0
2017,7,772,694,579,1117,608,0,0.3,0,5.1,0
2017,8,800,699,583,1030,600,0,0.3,0,5.1,0
2017,9,800,703,908,1000,610,0,0.3,0,5.1,0
2017,10,721,769,550,1038,533,30,7.2,33.9,119.8,11.2
2017,11,729,759,550,1020,500,30,7.2,33.9,119.8,11.2
2017,12,733,739,473,975,575,30,7.2,33.9,119.8,11.2
2017,13,740,735,450,800,575,30,7.2,33.9,119.8,11.2
2017,14,755,743,485,580,592,30,7.2,33.9,119.8,11.2
2017,15,714,739,470,725,592,53.5,4.3,20.8,172.6,0.8
2017,16,644,736,475,867,500,53.5,4.3,20.8,172.6,0.8
2017,17,615,720,470,775,467,53.5,4.3,20.8,172.6,0.8
2017,18,595,695,405,933,480,53.5,4.3,20.8,172.6,0.8
2017,19,545,689,436,NULL,400,314.7,10.3,93.1,333.1,28.6
2017,20,602,656,425,950,467,314.7,10.3,93.1,333.1,28.6
2017,21,754,601,510,898,467,314.7,10.3,93.1,333.1,28.6
2017,22,802,607,550,950,500,314.7,10.3,93.1,333.1,28.6
2017,23,900,712,629,976,792,314.7,10.3,93.1,333.1,28.6
2017,24,819,788,650,1067,483,1070.3,121.2,440.7,594.3,519.3
2017,25,775,767,650,1250,620,1070.3,121.2,440.7,594.3,519.3
2017,26,790,671,625,1060,625,1070.3,121.2,440.7,594.3,519.3
2017,27,755,693,583,1044,658,1070.3,121.2,440.7,594.3,519.3
2017,28,758,696,550,1058,683,1022.8,69.2,348.6,967.9,615.6
2017,29,796,777,570,1113,700,1022.8,69.2,348.6,967.9,615.6
2017,30,1002,823,733,1415,800,1022.8,69.2,348.6,967.9,615.6
2017,31,1679,1462,1433,2325,1400,1022.8,69.2,348.6,967.9,615.6
2017,32,2165,1893,1858,3446,2000,912.4,76.5,600,1042.4,620.7
2017,33,2000,1721,1822,2600,2000,912.4,76.5,600,1042.4,620.7
2017,34,2195,1823,1717,2556,1980,912.4,76.5,600,1042.4,620.7
2017,35,1885,1687,1590,2425,1780,912.4,76.5,600,1042.4,620.7
2017,36,1890,1633,1460,2700,1760,773.4,92.5,451.7,581.5,470.3
2017,37,1600,1503,1709,2350,1367,773.4,92.5,451.7,581.5,470.3
2017,38,1405,1249,1117,2133,1283,773.4,92.5,451.7,581.5,470.3
2017,39,1419,1177,1225,2550,1300,773.4,92.5,451.7,581.5,470.3
2017,40,1569,1391,1510,2575,1467,511.9,0,458.7,391.7,270.7
2017,41,2090,1698,1910,3300,2067,511.9,0,458.7,391.7,270.7
2017,42,2344,1762,1950,3400,2200,511.9,0,458.7,391.7,270.7
2017,43,2642,2074,2025,3163,2740,511.9,0,458.7,391.7,270.7
2017,44,2755,2075,1958,3875,3017,511.9,0,458.7,391.7,270.7
2017,45,2769,2434,2225,3517,3140,38.1,1.8,81.9,25.7,7.7
2017,46,2825,2321,2440,3850,3117,38.1,1.8,81.9,25.7,7.7
2017,47,3675,2512,2983,4450,2733,38.1,1.8,81.9,25.7,7.7
2017,48,3880,2685,3279,4625,2767,38.1,1.8,81.9,25.7,7.7
2017,49,3270,2557,2593,NULL,2217,15.8,4.2,8.6,15,7.8
2017,50,3354,2825,2867,NULL,2100,15.8,4.2,8.6,15,7.8
2017,51,2958,2820,2900,NULL,2033,15.8,4.2,8.6,15,7.8
2017,52,3030,2750,2480,NULL,2040,15.8,4.2,8.6,15,7.8
